Sample_Code,Description,Date,Plot,Sample_Category,Filter045_ml,Filter022_ml,DNA_TotalReads_STD,DNA_TotalReads_NonSTD,DNA_CopySum,Standard_curve_validity_16S,Standard_curve_validity_18S,Standard_curve_validity_ITS,Standard_curve_validity_COI,DADA2_Input_16S,DADA2_Input_18S,DADA2_Input_ITS,DADA2_Input_COI,DADA2_OutputProp_16S,DADA2_OutputProp_18S,DADA2_OutputProp_ITS,DADA2_OutputProp_COI,DNA_CopySum_16S,DNA_CopySum_18S,DNA_CopySum_ITS,DNA_CopySum_COI
S023,P1-6_14,2017-06-14,1,sample,100,30,21451,37371,2104048.441843832,Valid,Valid,Valid,Valid,15196,13237,17842,19831,0.8537773098183733,0.9944096094281182,0.7445914135186639,0.9782663506631032,2066667.4375221625,31592.35327094281,4879.186886489732,909.4641642371234
S024,P1-6_15,2017-06-15,1,sample,100,30,26791,39496,2413473.811245137,Valid,Valid,Invalid,Valid,20750,27503,NA,20557,0.9052048192771084,0.995964076646184,NA,0.9783528725008513,2364925.9575679908,42881.66334785495,4941.573385759793,724.616943531796
S025,P1-6_16,2017-06-16,1,sample,100,30,29027,60923,2652963.3153779875,Valid,Valid,Valid,Valid,21559,29343,20504,25850,0.9117769840901712,0.9957059605357326,0.7793113538821693,0.9708704061895551,2601700.3058103975,43058.448142553294,5003.959885029854,3200.601540006695
S026,P1-6_17,2017-06-17,1,sample,100,30,20913,42480,2429574.4109298894,Valid,Valid,Valid,Valid,17122,15896,12806,22625,0.8806214227309894,0.9964141922496226,0.8160237388724035,0.973524861878453,2389690.230578008,33821.20926513009,1955.4537568903975,4107.517329860979
S027,P1-6_18,2017-06-18,1,sample,100,30,21672,44432,2630034.8298840667,Valid,Valid,Valid,Valid,18802,15815,13916,23253,0.8788426763110307,0.9955105912108757,0.8008048289738431,0.9758740807637725,2595319.1118091,28965.428343928266,2423.5140056882124,3326.7757253503805
S028,P1-6_19,2017-06-19,1,sample,100,30,13780,45623,4489154.0221989695,Valid,Valid,Valid,Valid,19430,14222,20467,15368,0.7946989191971179,0.9948671072985515,0.7234572726828553,0.976444560124935,4408269.961977186,69868.04340587028,5464.460549167786,5551.556266746056
S029,P1-6_20,2017-06-20,1,sample,100,30,38813,49981,2799798.667313797,Valid,Valid,Valid,Valid,19481,43725,14345,16959,0.9014937631538422,0.9958833619210977,0.7785988149180899,0.9739961082611003,2758676.2821896905,36464.56370871932,2601.4090208338716,2056.412394553488
S030,P1-6_21,2017-06-21,1,sample,100,30,31383,57542,2748027.8251300626,Valid,Valid,Valid,Valid,21646,32051,18167,24015,0.8898641781391481,0.9944775514024523,0.7861507128309573,0.9788465542369352,2687161.236811141,56403.029354450235,3021.5005590946676,1442.058405376684
S031,P1-6_22,2017-06-22,1,sample,100,30,19125,46813,1771293.089132923,Valid,Valid,Valid,Valid,18887,19736,16915,20034,0.7730714247895378,0.9948824483177949,0.7125628140703517,0.9807826694619147,1691543.1337136186,70538.01438554801,3736.4488768936944,5475.492156862745
S032,P1-6_23,2017-06-23,1,sample,100,30,37290,39313,708539.4063300471,Valid,Valid,Valid,Valid,25155,24544,13759,19014,0.8943748757702246,0.9953960234680573,0.8105967003415946,0.9740717366151257,675650.6195199821,29579.92368631957,1939.768177181461,1369.0949465638055
S033,P1-6_24,2017-06-24,1,sample,100,30,22064,63079,1579110.8925019358,Valid,Valid,Valid,Valid,18351,29827,21285,22245,0.9048553212359,0.9945016260435177,0.8097251585623678,0.9728028770510228,1435962.9967474733,133872.06765886367,4555.803076779527,4720.025018819465
S034,P1-6_25,2017-06-25,1,sample,100,30,26712,49693,943565.8661775432,Valid,Valid,Valid,Valid,17390,27989,14300,21464,0.9094307073030478,0.995105219907821,0.823006993006993,0.9769381289601192,862588.919988485,73121.92062942381,2374.006238127624,5481.0193215067075
S035,P1-6_26,2017-06-26,1,sample,100,30,18147,56662,1884621.0616285666,Valid,Valid,Valid,Valid,9021,27310,21274,23864,0.8944684624764438,0.9938484071768583,0.7635611544608443,0.978628897083473,1770728.636338752,97875.31203958522,13427.295303754774,2589.817946474585
S036,P1-6_27,2017-06-27,1,sample,100,30,17398,48393,1276726.6861022422,Valid,Valid,Valid,Valid,12108,23941,11634,23499,0.8807400066072019,0.9921473622655695,0.7229671652054324,0.9771905187454786,1157276.2178142515,111133.19702221146,5657.833666144961,2659.4375996342114
S037,P1-6_28,2017-06-28,1,sample,100,30,16707,52062,1880464.3485990725,Valid,Valid,Valid,Valid,11948,20509,15740,26391,0.9069300301305658,0.9917109561655858,0.7480304955527319,0.9783638361562654,1728353.7224183227,142602.23221059018,7918.146398076763,1590.2475720827254
S038,P1-6_29,2017-06-29,1,sample,100,30,31844,51709,992915.7042562051,Valid,Valid,Valid,Valid,16041,35225,11588,25303,0.9016270806059472,0.9945493257629524,0.8037625129444252,0.9778682369679484,936735.0012683915,49528.43010285252,2379.864002636072,4272.408882325016
S039,P1-6_30,2017-06-30,1,sample,100,30,25076,39119,631817.3423827596,Valid,Valid,Valid,Valid,17683,21519,7232,22450,0.8785839506871006,0.9914494167944607,0.7245575221238938,0.9836971046770602,578696.0326968993,47927.20494533856,1808.1406487171548,3385.9640918045384
S040,P1-7_1,2017-07-01,1,sample,100,30,26984,61544,1320943.5716369646,Valid,Valid,Valid,Valid,17949,43985,11455,20211,0.9077385926792579,0.9921791519836308,0.7657791357485814,0.9807530552669338,1201092.1501706482,113529.99773031047,3670.1461377870564,2651.2775982187745
S041,P1-7_2,2017-07-02,1,sample,100,30,20971,48923,1866035.882395814,Valid,Valid,Valid,Valid,16792,17059,22749,18875,0.9361005240590757,0.9916759481798464,0.8230691458965229,0.9819337748344371,1738545.9556567243,122630.34822464155,3244.3051416435437,1615.2733728045378
S042,P1-7_3,2017-07-03,1,sample,100,30,15211,53863,2515251.343738337,Valid,Valid,Valid,Valid,14962,17942,23713,18784,0.9001470391658869,0.9922528146249024,0.8137308649264117,0.9852534071550255,2375017.5351734953,129383.09886172097,8010.532409186147,2840.1772939346815
S043,P1-7_4,2017-07-04,1,sample,100,30,15210,50826,2171555.2172710863,Valid,Valid,Valid,Valid,14433,21949,16665,17968,0.8894200789856579,0.9938949382659802,0.819021902190219,0.9870325022261799,1941784.408944751,223352.42575988115,4583.77271761593,1834.6098488382943
S044,P1-7_5,2017-07-05,1,sample,100,30,22721,44355,2164021.268465765,Valid,Valid,Valid,Valid,13752,20414,20024,19701,0.8849621873182083,0.9903987459586558,0.7609368757491011,0.9873102888178265,2075626.4891956293,82807.72947257748,4723.797379059608,863.252418498682
S045,P1-7_6,2017-07-06,1,sample,100,30,20883,38247,1303209.0665973849,Valid,Valid,Valid,Valid,16375,12564,20093,15527,0.9297709923664123,0.9912448264883795,0.8020206041905141,0.9876988471694468,1199216.9028773962,99684.53592980641,3389.298905492867,918.3288846895794
S046,P1-7_7,2017-07-07,1,sample,100,30,33991,57236,1993129.2593241578,Valid,Valid,Valid,Valid,15049,46684,14277,20394,0.8902917137351319,0.9939808071287808,0.7912026336065,0.9870550161812298,1905807.3009670663,82032.1706480408,4484.313899488274,805.4738095626498
S047,P1-7_8,2017-07-08,1,sample,100,30,26043,41315,1182308.3207739573,Valid,Valid,Valid,Valid,14496,28115,14248,16705,0.8553394039735099,0.9915347679174817,0.741577765300393,0.9886860221490572,1116656.308266004,60563.50970953873,2724.4756660272074,2364.0271323873376
S048,P1-7_9,2017-07-09,1,sample,100,30,30830,55805,2150456.252008495,Valid,Valid,Valid,Valid,17959,18615,43523,17342,0.8791135363884404,0.992962664517862,0.8120993497690876,0.9813170337907969,2042995.7956603195,99450.99625872256,7842.4730695619455,166.98701989102028
S049,P1-7_10,2017-07-10,1,sample,100,30,21524,52121,1176176.5777039514,Valid,Valid,Valid,Valid,17898,18386,35553,12938,0.9151860543077439,0.9940715761992821,0.7401063201417601,0.9796722831967847,1072811.201133904,93111.90404730936,9030.605952949725,1222.8665697882175
S050,P1-7_11,2017-07-11,1,sample,100,30,19069,57225,1348531.05864221,Valid,Valid,Valid,Invalid,17592,29912,40884,NA,0.9208162801273306,0.9952193099759294,0.7417571666177478,NA,1213632.3070058012,111810.33913634773,22313.93469873743,774.4778013236186
S051,P1-7_12,2017-07-12,1,sample,100,30,23451,49806,1116802.084930547,Valid,Valid,Valid,Valid,22431,15988,36361,9980,0.9173019481966921,0.9939329497122842,0.742773851104205,0.9801603206412826,1020973.0749665806,80233.86160933545,15269.059321771927,326.08903285901977
