"eDNA_code","qpcr_16s_ml","quantit_ng_ml","qmiseq_total_ml","qmiseq_16s_ml","std_16s_r2","std_16s_coef","miseq_16s_reads","plot","sample_nc"
"17_0627_3",64082776.67,5.339242357,903996,749936,0.989185874,0.038536604,8670,3,"sample"
"17_0628_3",12727605,12.3396201,1857627,1724564,0.989762089,0.023149811,11977,3,"sample"
"17_0629_3",11670358.33,24.5754207,2487980,2286909,0.991521271,0.017361132,11911,3,"sample"
"17_0630_3",10587100,5.156628363,1553099,1405948,0.98831495,0.021861887,9221,3,"sample"
"17_0701_3",7242953.333,5.1748905,798592,734039,0.991922347,0.043971321,9683,3,"sample"
"17_0702_3",7870778.333,7.036773607,857991,731404,0.99189032,0.036172453,7937,3,"sample"
"17_0703_3",6288555,8.659997033,1334609,1222879,0.988607877,0.023635472,8671,3,"sample"
"17_0704_3",6447136.667,3.494081403,400527,340517,0.993976314,0.054896981,5608,3,"sample"
"17_0705_3",10845155,3.54891264,1476490,1280856,0.98670309,0.017337358,6662,3,"sample"
"17_0706_3",7115955,5.813962203,1339322,1013541,0.986211586,0.026270943,7988,3,"sample"
"17_0707_3",9550485,5.85047455,2561920,2183710,0.987194084,0.013469434,8824,3,"sample"
"17_0708_3",9567655,11.8845554,1871373,1637491,0.987038566,0.01834717,9013,3,"sample"
"17_0709_3",18819708.33,14.95901272,2694376,2284040,0.986335178,0.015586415,10680,3,"sample"
"17_0710_3",6305541.667,6.50758588,1792262,1563023,0.984532297,0.02857283,13398,3,"sample"
"17_0711_3",11127450,13.34043791,1998606,1688555,0.981762672,0.024435094,12378,3,"sample"
"17_0712_3",10564790,10.15445499,1885735,1636184,0.988827548,0.026516981,13016,3,"sample"
"17_0713_3",9894843.333,8.95168038,1416712,1228184,0.99048985,0.028497358,10500,3,"sample"
"17_0714_3",9950690,10.00869983,1596158,1176293,0.991921543,0.050749811,17909,3,"sample"
"17_0715_3",12391955,20.42490633,2323781,1766942,0.992942015,0.029036981,15392,3,"sample"
"17_0716_3",9952916.667,7.474620313,2430974,1766519,0.988217804,0.027038113,14329,3,"sample"
"17_0717_3",8549673.333,8.14945482,2686834,2168553,0.991948737,0.026604528,17308,3,"sample"
"17_0718_3",10684938.33,7.875899357,1751541,1481894,0.990529614,0.029810943,13253,3,"sample"
"17_0719_3",4603868.333,7.474620313,2811895,2211724,0.991995262,0.02310566,15331,3,"sample"
"17_0720_3",10459111.67,14.83175021,1980207,1435934,0.985220726,0.026653962,11482,3,"sample"
"17_0721_3",7301975,14.52265507,1092853,743554,0.991004994,0.041162642,9182,3,"sample"
"17_0722_3",8448820,6.10604278,1348232,881265,0.996118908,0.042068302,11122,3,"sample"
"17_0723_3",12447833.33,11.35656367,1742011,1193926,0.988951748,0.030646792,10977,3,"sample"
"17_0724_3",10448095,14.79538821,1827678,1306240,0.986125102,0.024263019,9508,3,"sample"
"17_0725_3",7775385,8.131218893,1170604,876756,0.992565628,0.048196604,12677,3,"sample"
"17_0726_3",10837873.33,8.37061896,1196959,1024660,0.992901655,0.025055472,7702,3,"sample"
"17_0727_3",10570521.67,10.51410577,1230173,894305,0.992074479,0.024518113,6578,3,"sample"
"17_0728_3",11030080,9.973848933,1620106,1164669,0.993741995,0.027581509,9637,3,"sample"
"17_0729_3",7201706.667,6.640485297,1690913,1282858,0.994166461,0.018271698,7032,3,"sample"
"17_0730_3",11149258.33,5.54068072,1608738,1072140,0.988419978,0.024810189,7980,3,"sample"
"17_0731_3",13713086.67,7.812022923,1572099,1142600,0.9899976,0.026778113,9179,3,"sample"
"17_0801_3",17851683.33,12.29640517,1423046,918930,0.987561366,0.03388,9340,3,"sample"
"17_0802_3",14656963.33,8.3526011,1325703,937234,0.989021889,0.026802264,7536,3,"sample"
"17_0803_3",13941321.67,20.29816619,1600270,1040973,0.99079433,0.021540755,6727,3,"sample"
"17_0804_3",12596446.67,9.901808743,1956872,1260317,0.992871684,0.015599245,5898,3,"sample"
"17_0805_3",11657531.67,20.92690946,1829142,1310877,0.985450892,0.018115094,7124,3,"sample"
"17_0806_3",12934313.33,20.83709401,1987688,1363705,0.974761081,0.012737358,5211,3,"sample"
"17_0807_3",11975873.33,10.22597856,1774865,1364736,0.990986829,0.013795094,5648,3,"sample"
"17_0808_3",7456010,12.31440398,1139937,967692,0.98996729,0.02146,6230,3,"sample"
"17_0809_3",9544155,11.66639425,1131104,915180,0.978162078,0.018892453,5187,3,"sample"
"17_0810_3",8209398.333,8.622859477,968324,840493,0.992182992,0.022268679,5615,3,"sample"
"17_0811_3",10648656.67,4.296207343,849964,767351,0.984709424,0.014013585,3226,3,"sample"
"17_0812_3",15222273.33,9.469538023,1638287,1500588,0.986369619,0.008127925,3659,3,"sample"
"17_0813_3",14198678.33,4.440517963,1077153,986937,0.983521666,0.012695849,3759,3,"sample"
"17_0814_3",17159343.33,5.432484,1053462,989336,0.988569929,0.009194717,2729,3,"sample"
"17_0815_3",11625758.33,9.793745827,1399385,1322963,0.978043396,0.009,3572,3,"sample"
"17_0816_3",11636565,2.726417813,722651,681182,0.984810452,0.016344151,3340,3,"sample"
"17_0817_3",9838928.333,4.24208923,643995,597913,0.988469419,0.017828679,3198,3,"sample"
"17_0818_3",19986931.67,10.13593423,2114908,1971576,0.980052903,0.00593434,3510,3,"sample"
"17_0819_3",16266040,8.67690871,2024320,1938913,0.981253882,0.009470943,5509,3,"sample"
"17_0820_3",5720746.667,4.891448163,2024602,1917120,0.970017738,0.009008302,5181,3,"sample"
"17_0821_3",10953321.67,5.252148413,971626,927255,0.988514919,0.018366038,5109,3,"sample"
"17_0822_3",11997703.33,14.40171031,1813717,1756940,0.983911031,0.009321132,4913,3,"sample"
"17_0823_3",15056676.67,14.04190739,4128979,4054070,0.983322628,0.005037736,6127,3,"sample"
"17_0824_3",16716065,10.0098685,2754346,2734500,0.976792605,0.007668679,6291,3,"sample"
"17_0825_3",11890858.33,9.091259267,877919,835466,0.991142852,0.014331321,3592,3,"sample"
"17_0826_3",6794803.333,5.107872977,950465,815563,0.991819659,0.015547547,3804,3,"sample"
"17_0827_3",9196871.667,3.249765377,1248964,1071072,0.991785181,0.026048679,8370,3,"sample"
"17_0828_3",8071831.667,8.280528753,1587298,1378898,0.986845543,0.022663019,9375,3,"sample"
"17_0829_3",10479996.67,6.37007433,2204428,2039552,0.988228692,0.017631321,10788,3,"sample"
"17_0830_3",9442310,7.397523707,1354585,1187044,0.983722461,0.016163396,5756,3,"sample"
"17_0831_3",16057973.33,9.091259267,2074449,1976271,0.980721824,0.012801887,7590,3,"sample"
"17_0901_3",19855055,26.7615469,2818533,2701502,0.982582718,0.010258491,8314,3,"sample"
"17_0902_3",13738318.33,6.766669827,1094494,1033300,0.982917581,0.013723019,4254,3,"sample"
"17_0903_3",19963905,19.79511194,3104577,2968763,0.975837656,0.006990566,6226,3,"sample"
"17_0904_3",24546348.33,25.29001977,2769869,2662494,0.988578684,0.015420377,12317,3,"sample"
"17_0905_3",22797098.33,23.36926661,2935071,2853136,0.982582038,0.014225283,12176,3,"sample"
"17_0906_3",20928790,17.35092559,4456395,4213381,0.984043734,0.010067925,12726,3,"sample"
"17_0907_3",24366433.33,16.57785298,3502866,3279709,0.987297686,0.007814717,7689,3,"sample"
"17_0908_3",18822806.67,19.65137229,4839624,4664092,0.989816767,0.006082642,8511,3,"sample"
"17_0909_3",14174123.33,8.803020433,2403831,2325671,0.990157461,0.01217283,8493,3,"sample"
"17_0910_3",22538495,16.48795188,2327485,2202662,0.992077697,0.006464906,4272,3,"sample"
"17_0911_3",32746677.5,43.42531697,5373936,5238016,0.98775494,0.005872453,6152,3,"sample"
"17_0912_3",31417872.5,22.60089373,3952580,3879487,0.991450249,0.009239623,7169,3,"sample"
"17_0913_3",31922275,42.99482686,4357032,4263540,0.947329387,0.003678868,3137,3,"sample"
"17_0914_3",21216142.5,24.97465877,3899516,3737336,0.974657141,0.009021132,6743,3,"sample"
"17_0915_3",16037202.5,14.39343336,2570376,2437696,0.985342959,0.011186792,5454,3,"sample"
"17_0916_3",24430745,8.6626426,2114942,2035562,0.990676875,0.01472566,5995,3,"sample"
"17_0917_3",41248782.5,46.03475234,3389819,2952606,0.996669466,0.008304528,4904,3,"sample"
"17_0918_3",24671320,19.38947126,3783996,2815606,0.984174967,0.006515472,3669,3,"sample"
"17_0919_3",15356037.5,11.79912667,2032504,1765937,0.990817972,0.009133962,3226,3,"sample"
"17_0920_3",21849910,17.95861858,3566815,3165858,0.993763433,0.016093585,10190,3,"sample"
"17_0921_3",21811480,20.30719439,2900825,2687602,0.987533584,0.017498868,9406,3,"sample"
"17_0922_3",22465287.5,10.98814784,4885155,4512926,0.98154094,0.013020377,11752,3,"sample"
"17_0522_4",16753415,4.36836344,2056736,1900452,0.965367392,0.006458113,3682,4,"sample"
"17_0524_4",8760536.667,3.41216633,1043010,1011023,0.983794386,0.005779623,1753,4,"sample"
"17_0525_4",11607720,2.076625907,1284583,1228266,0.974911611,0.010871698,4006,4,"sample"
"17_0526_4",9614286.667,1.137801637,805004,756110,0.981399464,0.019917736,4518,4,"sample"
"17_0527_4",10775365,1.715572857,1336022,1254353,0.982707176,0.017908302,6739,4,"sample"
"17_0528_4",16481030,1.535030803,2247430,2091152,0.977932063,0.016662264,10453,4,"sample"
"17_0529_4",10762528.33,2.148831563,1783923,1605392,0.981843077,0.014509434,6988,4,"sample"
"17_0530_4",17474548.33,5.234114323,3035711,2716680,0.974478448,0.006668679,5435,4,"sample"
"17_0531_4",14280855,4.765193873,1358318,1146731,0.975211672,0.013420755,4617,4,"sample"
"17_0601_4",4739546.667,1.553085477,669997,634228,0.973647302,0.009523396,1812,4,"sample"
"17_0602_4",25675905,1.715572857,1281430,1102645,0.983996323,0.016980377,5617,4,"sample"
"17_0603_4",29458940,2.0044186,1538570,1071368,0.986674406,0.024772075,7962,4,"sample"
"17_0604_4",22591233.33,3.70085908,1430988,851888,0.98837107,0.025398491,6491,4,"sample"
"17_0605_4",19645161.67,1.191972227,567986,497400,0.990606502,0.040075094,5980,4,"sample"
"17_0606_4",22194895,1.968314327,836132,621956,0.985901397,0.026491698,4943,4,"sample"
"17_0607_4",10720473.33,1.282254453,187201,157698,0.992145055,0.040351321,1909,4,"sample"
"17_0608_4",7756490,1.73849354,139796,108592,0.990900266,0.046320377,1509,4,"sample"
"17_0609_4",5799873.333,1.87963992,141345,113674,0.961166104,0.011729434,400,4,"sample"
"17_0610_4",5112185,2.902725443,476686,446136,0.997551847,0.020770943,2780,4,"sample"
"17_0611_4",8856341.667,5.687783263,799265,697353,0.97318543,0.016892453,3534,4,"sample"
"17_0612_4",12713278.33,5.3001596,1526311,1451790,0.985264804,0.014492453,6312,4,"sample"
"17_0613_4",17157800,7.449037297,1848163,1675267,0.980615905,0.016608302,8347,4,"sample"
"17_0614_4",16586351.67,5.28253906,1877181,1595106,0.987390217,0.015823396,7572,4,"sample"
"17_0615_4",24280901.67,9.17402262,1262355,879618,0.956400965,0.007715472,2036,4,"sample"
"17_0616_4",18193866.67,7.272960863,2207107,1486185,0.97920505,0.01388566,6191,4,"sample"
"17_0617_4",6298968.333,8.36446218,1416307,965753,0.974471524,0.007558868,2190,4,"sample"
"17_0618_4",10657316.67,7.88918141,1977474,1429398,0.990245947,0.011221509,4812,4,"sample"
"17_0619_4",12690075,9.103634857,2400311,1617130,0.988085768,0.018287547,8872,4,"sample"
"17_0620_4",8698903.333,6.5509343,881374,682001,0.984757906,0.023362642,4780,4,"sample"
"17_0621_4",4434330,2.514705023,615772,551828,0.995281967,0.049707547,8229,4,"sample"
"17_0622_4",6646455,1.91492533,622533,571027,0.99099815,0.034300755,5876,4,"sample"
"17_0623_4",5493130,1.826710917,421229,369456,0.990753432,0.035800377,3968,4,"sample"
"17_0624_4",9290190,2.32067355,1193287,1038218,0.985173616,0.024773208,7716,4,"sample"
"17_0625_4",14073331.67,5.141570713,676665,576148,0.966810747,0.022395849,3871,4,"sample"
"17_0626_4",47945511.67,3.273055967,1313515,1180037,0.973047501,0.020852453,7382,4,"sample"
"17_0627_4",45195266.67,3.22015474,1412973,1276919,0.992931695,0.030542264,11700,4,"sample"
"17_0628_4",35126163.33,5.141570713,1859312,1658389,0.983511564,0.02181434,10853,4,"sample"
"17_0629_4",46869676.67,5.740636863,1207219,1094661,0.99465202,0.043480755,14279,4,"sample"
"17_0630_4",36513993.33,6.022505897,644901,537254,0.983439266,0.038057736,6134,4,"sample"
"17_0701_4",41863523.33,2.638172203,550606,492304,0.973240872,0.037673208,5564,4,"sample"
"17_0702_4",6473805,1.73849354,355039,298463,0.993230381,0.057315849,5132,4,"sample"
"17_0703_4",5295996.667,4.54237498,798520,637484,0.983568198,0.019137736,3660,4,"sample"
"17_0704_4",4293638.333,2.708722307,841232,647758,0.984666661,0.048793962,9482,4,"sample"
"17_0705_4",6598920,3.92541905,1587917,1323782,0.976865908,0.023264151,9239,4,"sample"
"17_0706_4",4589586.667,4.471872783,961440,816482,0.981213971,0.029398491,7201,4,"sample"
"17_0707_4",1967313.333,4.84198913,1823112,1526545,0.973525037,0.022755094,10421,4,"sample"
"17_0708_4",6036705,3.96067744,1147427,998958,0.968280184,0.023481132,7037,4,"sample"
"17_0709_4",8791885,4.89485883,1543197,1271372,0.97567559,0.016698491,6369,4,"sample"
"17_0710_4",10068866.67,3.8549009,1271249,985614,0.987651528,0.029842642,8824,4,"sample"
"17_0711_4",6760175,4.877235707,1188184,939477,0.987245886,0.008579245,2418,4,"sample"
"17_0712_4",8490218.333,4.75387071,1351850,1100475,0.984968563,0.041757736,13786,4,"sample"
"17_0713_4",4840138.333,3.96067744,738541,658717,0.986203549,0.04588717,9068,4,"sample"
"17_0714_4",8671888.333,4.4894985,907283,722808,0.982861073,0.022592453,4899,4,"sample"
"17_0715_4",12485150,6.81511155,1234792,1074925,0.983600583,0.025363019,8179,4,"sample"
"17_0716_4",7898908.333,2.67344749,1031019,866542,0.989281299,0.032100755,8345,4,"sample"
"17_0717_4",3416526.667,3.22015474,1271316,1144485,0.985194495,0.025164151,8640,4,"sample"
"17_0718_4",10881256.67,5.458739433,1209348,1128709,0.985895962,0.025601509,8669,4,"sample"
"17_0719_4",9194260,3.273055967,1156671,899324,0.986347627,0.012090566,3262,4,"sample"
"17_0720_4",4465425,3.25542234,1036695,881698,0.995713168,0.045442642,12020,4,"sample"
"17_0721_4",6955188.333,1.809067677,564179,537667,0.995839408,0.065579623,10578,4,"sample"
"17_0722_4",7695926.667,2.638172203,652261,600800,0.985393026,0.027108302,4886,4,"sample"
"17_0723_4",11547761.67,3.184886677,1046812,995220,0.988648613,0.032053208,9570,4,"sample"
"17_0724_4",8504005,3.96067744,1036367,1007847,0.994573929,0.053506792,16178,4,"sample"
"17_0725_4",7358116.667,2.920361393,631890,602773,0.99277998,0.031786415,5748,4,"sample"
"17_0726_4",5336140,1.526759707,468278,459416,0.992369482,0.061636226,8495,4,"sample"
"17_0727_4",6235413.333,1.967852553,291694,272377,0.986773269,0.040984906,3349,4,"sample"
"17_0728_4",6766700,2.338313363,842124,811691,0.988856924,0.042651698,10386,4,"sample"
"17_0729_4",7251763.333,1.73849354,474796,458298,0.988937025,0.052833208,7264,4,"sample"
"17_0730_4",11374591.67,2.161909943,1023203,958161,0.992758903,0.025792453,7414,4,"sample"
"17_0731_4",1486636.667,3.184886677,527438,496033,0.994797318,0.068227925,10153,4,"sample"
"17_0801_4",7481915,3.608072913,478346,462406,0.993165601,0.05053283,7010,4,"sample"
"17_0802_4",13973473.33,3.061444797,726832,700492,0.983085943,0.031311321,6580,4,"sample"
"17_0803_4",10674916.67,2.849816897,371453,354145,0.992685073,0.063410943,6737,4,"sample"
"17_0804_4",8682741.667,2.5852584,457372,445233,0.997342499,0.02659283,3552,4,"sample"
"17_0805_4",18089061.67,5.071083847,1218866,1181287,0.990914572,0.035647547,12633,4,"sample"
"17_0806_4",15605831.67,2.461788757,570279,538827,0.95988448,0.057786038,9341,4,"sample"
"17_0807_4",14791795,5.811106777,1123319,1088302,0.990439844,0.024083396,7863,4,"sample"
"17_0808_4",10026885,3.008539393,859916,823936,0.993409498,0.055081132,13615,4,"sample"
"17_0809_4",8368311.667,3.978306463,651071,605724,0.989711889,0.047942642,8712,4,"sample"
"17_0810_4",15530941.67,4.33086294,1059517,987995,0.986782987,0.032183019,9539,4,"sample"
"17_0811_4",21672750,5.511597373,1058400,945610,0.982815609,0.023572075,6687,4,"sample"
"17_0812_4",18719433.33,4.242728093,972260,891150,0.96919424,0.013432075,3591,4,"sample"
"17_0813_4",12648881.67,10.24723085,1394387,1267038,0.979487647,0.021149057,8039,4,"sample"
"17_0814_4",13808308.33,7.14970094,1650417,1612277,0.985293228,0.018572075,8983,4,"sample"
"17_0815_4",15627515,6.286732457,1751251,1717717,0.986400637,0.015621509,8050,4,"sample"
"17_0816_4",16774090,8.927658143,2518311,2443079,0.984960248,0.01427434,10462,4,"sample"
"17_0817_4",12516991.67,4.75387071,1461944,1435460,0.994258425,0.023000755,9905,4,"sample"
"17_0818_4",28162713.33,8.452468657,2584164,1992756,0.97994978,0.006737736,4028,4,"sample"
"17_0819_4",15874556.67,6.357188693,3026449,2714338,0.981430117,0.011076981,9020,4,"sample"
"17_0820_4",8125735,5.018217523,1725135,1444587,0.984991168,0.008383019,3633,4,"sample"
"17_0821_4",13313323.33,13.21858691,1447157,1327861,0.982335522,0.017125283,6822,4,"sample"
"17_0822_4",19853666.67,7.272960863,2209940,2119158,0.990528978,0.011559623,7349,4,"sample"
"17_0823_4",8106006.667,6.779889333,3567908,2955314,0.983557021,0.008484151,7522,4,"sample"
"17_0824_4",12566866.67,6.286732457,1703295,1491784,0.987763677,0.023600377,10562,4,"sample"
"17_0825_4",10638200,7.642708957,2471679,1699694,0.987566565,0.014184906,7233,4,"sample"
"17_0826_4",7810511.667,8.99805008,754069,415686,0.909718939,0.001058491,132,4,"sample"
"17_0827_4",6668486.667,5.537185557,827824,522279,0.975943943,0.014609057,2289,4,"sample"
"17_0828_4",6573956.667,6.44036398,749912,424220,0.968747491,0.004604528,586,4,"sample"
"17_0829_4",10348005,4.067026933,1377585,1044591,0.990049693,0.01623283,5087,4,"sample"
"17_0830_4",6929288.333,9.025253573,1893790,1553603,0.978053698,0.010253585,4779,4,"sample"
"17_0831_4",9930006.667,8.370270627,1589207,1422469,0.978574043,0.010362264,4422,4,"sample"
"17_0901_4",12520618.33,8.600406667,2356573,2052659,0.98638682,0.012370943,7618,4,"sample"
"17_0902_4",9695545,8.175534233,2012643,1816101,0.982178793,0.011989057,6532,4,"sample"
"17_0903_4",7486921.667,6.28098881,1932491,1558178,0.985168536,0.01062566,4967,4,"sample"
"17_0904_4",14822866.67,16.01426014,2196503,1946183,0.983933044,0.014854717,8673,4,"sample"
"17_0905_4",14754870,7.591292123,2031704,1944421,0.977115141,0.007110943,4148,4,"sample"
"17_0906_4",21386823.33,30.20975217,4319435,3844013,0.984317515,0.007808679,9005,4,"sample"
"17_0907_4",21046566.67,27.11690597,4435218,3976644,0.985980925,0.009529811,11369,4,"sample"
"17_0908_4",17022125,19.4980092,3818043,3611916,0.983860762,0.008543019,9257,4,"sample"
"17_0909_4",5834038.333,11.23760285,2568039,2339934,0.969153894,0.015007547,10535,4,"sample"
"17_0910_4",10848475,25.10198562,4560231,3901920,0.996628001,0.009457736,11071,4,"sample"
"17_0911_4",24600885,32.1377226,4149197,3955101,0.982840776,0.009146415,7235,4,"sample"
"17_0912_4",25630740,31.31563434,2982472,2923903,0.985711725,0.00908717,5314,4,"sample"
"17_0913_4",48557302.5,45.02302541,5016892,4923976,0.9702415,0.003140755,3093,4,"sample"
"17_0914_4",25572005,56.8992919,9657604,9551601,0.9932449,0.00529283,10111,4,"sample"
"17_0915_4",40503127.5,33.35754155,5027140,4936067,0.981357641,0.009446792,9326,4,"sample"
"17_0916_4",31053905,24.1805706,3196257,3091974,0.978133846,0.011937358,7382,4,"sample"
"17_0917_4",41752007.5,30.78523845,4462160,4147504,0.991560702,0.012811321,10627,4,"sample"
"17_0918_4",14530380,8.385475885,1383392,1215580,0.973686427,0.016642264,4046,4,"sample"
"17_0919_4",45444570,14.54681513,2872740,2731959,0.955267447,0.005893208,3220,4,"sample"
"17_0920_4",37048515,17.04221341,3358807,3133206,0.985027594,0.00943283,5911,4,"sample"
"17_0921_4",31142115,11.91807627,1056689,949732,0.981534158,0.013730189,2608,4,"sample"
"17_0922_4",40758415,22.0314928,3153464,2988800,0.983292043,0.012550189,7502,4,"sample"
"17_0522_5",9491456.667,5.41320984,1015001,822129,0.994055095,0.028750566,7091,5,"sample"
"17_0524_5",6674718.333,8.936745883,1869520,1315977,0.967363774,0.006261509,2472,5,"sample"
"17_0525_5",4110053.333,11.75077752,2269241,1398881,0.973188073,0.012021509,5045,5,"sample"
"17_0526_5",3208695,3.42925592,699999,372273,0.990198303,0.033622264,3755,5,"sample"
"17_0527_5",1936926.667,2.4547481,834735,524149,0.982362556,0.023358491,3673,5,"sample"
"17_0528_5",1499430,19.62177857,1609453,588889,0.988637624,0.029518868,5215,5,"sample"
"17_0529_5",4157363.333,2.29526728,820544,791730,0.989889823,0.022015094,5229,5,"sample"
"17_0530_5",10185003.33,3.60642148,1068967,1051005,0.963572115,0.004091321,1290,5,"sample"
"17_0531_5",5216726.667,3.695002247,1085210,1048360,0.978800224,0.023586038,7418,5,"sample"
"17_0601_5",13216785,2.862289743,1340066,1172951,0.952492886,0.000920755,324,5,"sample"
"17_0602_5",6095288.333,3.021754623,1392985,1352632,0.987187933,0.020821132,8449,5,"sample"
"17_0603_5",5631055,4.261887707,940287,922655,0.985375698,0.028067547,7769,5,"sample"
"17_0604_5",6860373.333,6.936172917,1371109,1352357,0.969181752,0.018636604,7561,5,"sample"
"17_0605_5",13652963.33,7.32571097,2176868,2141210,0.979980094,0.016784906,10782,5,"sample"
"17_0606_5",10858590,11.09603163,1911575,1882634,0.976323768,0.014044151,7932,5,"sample"
"17_0607_5",7012455,3.287519597,1191489,1173876,0.977297485,0.016688302,5877,5,"sample"
"17_0608_5",15061603.33,5.147539283,2173865,2137008,0.97514629,0.013389434,8584,5,"sample"
"17_0609_5",9640183.333,3.99616689,1292705,1255603,0.9918023,0.007783774,2932,5,"sample"
"17_0610_5",10864773.33,6.404947613,2452119,2364792,0.986340428,0.013906792,9866,5,"sample"
"17_0611_5",14066565,10.84827587,2722906,2596814,0.980784091,0.012478113,9721,5,"sample"
"17_0612_5",9520685,3.19893263,1498263,1467880,0.992003982,0.015991321,7042,5,"sample"
"17_0613_5",9229623.333,5.590317257,1449254,1434656,0.98968629,0.032535094,14003,5,"sample"
"17_0614_5",5273858.333,2.348428057,737173,716837,0.989541394,0.039013962,8390,5,"sample"
"17_0615_5",10055936.67,3.057190663,1235300,1185688,0.982646195,0.016406792,5836,5,"sample"
"17_0616_5",5531630,2.649662973,1501753,1366591,0.978914913,0.027301509,11193,5,"sample"
"17_0617_5",5792668.333,1.92312768,816519,753970,0.986480555,0.023984151,5425,5,"sample"
"17_0618_5",8527611.667,4.13788613,1589200,1365585,0.986143654,0.029284151,11997,5,"sample"
"17_0619_5",6143088.333,4.757868457,2738549,2309489,0.988174496,0.017983774,12460,5,"sample"
"17_0620_5",10858590,5.11211568,2957542,2694389,0.990141882,0.01545434,12492,5,"sample"
"17_0621_5",9271046.667,5.87367876,1921311,1729893,0.986824325,0.030238868,15693,5,"sample"
"17_0622_5",9760041.667,4.08474181,1611237,1399495,0.988501485,0.030158491,12662,5,"sample"
"17_0623_5",8062493.333,2.50790737,1316612,1111987,0.982340865,0.022164528,7394,5,"sample"
"17_0624_5",13534960,4.8995698,2009492,1657062,0.978017934,0.019755849,9821,5,"sample"
"17_0625_5",8803988.333,5.537185557,1106496,807036,0.965317378,0.018004151,4359,5,"sample"
"17_0626_5",8005748.333,2.41930831,1132100,929937,0.990771593,0.046748679,13042,5,"sample"
"17_0627_5",13791001.67,5.28923166,1588617,1189116,0.98263487,0.02375434,8474,5,"sample"
"17_0628_5",25754895,5.87367876,2022778,1655286,0.981791476,0.027233962,13524,5,"sample"
"17_0629_5",53949948.33,3.695002247,2158621,1656256,0.984651106,0.034121132,16954,5,"sample"
"17_0630_5",27106106.67,4.917282237,849707,682957,0.990253577,0.046181509,9462,5,"sample"
"17_0701_5",29929345,4.598450507,945481,681941,0.976704368,0.025290566,5174,5,"sample"
"17_0702_5",68774390,6.334114303,1124887,861473,0.986208101,0.035056226,9060,5,"sample"
"17_0703_5",89174293.33,3.0749086,902269,619715,0.988422885,0.023263396,4325,5,"sample"
"17_0704_5",6286988.333,1.869962847,1045522,731209,0.993378784,0.041424528,9087,5,"sample"
"17_0705_5",8183321.667,2.312987597,1159898,983683,0.989526007,0.041378491,12211,5,"sample"
"17_0706_5",6612608.333,3.181215077,1170327,1024263,0.990000634,0.030620377,9409,5,"sample"
"17_0707_5",2221455,2.330707853,1244679,1074313,0.984427216,0.037307547,12024,5,"sample"
"17_0708_5",8742063.333,4.456742143,743932,649394,0.989978983,0.04728,9211,5,"sample"
"17_0709_5",12665590,9.467775783,1146609,953022,0.978586442,0.02228,6370,5,"sample"
"17_0710_5",11737148.33,4.575764283,1037705,873075,0.980437145,0.030738113,8051,5,"sample"
"17_0711_5",10455441.67,7.988159427,675467,589385,0.95023343,0.009399623,1662,5,"sample"
"17_0712_5",10549661.67,4.685296987,1237654,1117457,0.99089615,0.040756226,13663,5,"sample"
"17_0713_5",11573028.33,7.44090339,1620209,1480920,0.975469264,0.025677736,11408,5,"sample"
"17_0714_5",9972405,6.419170403,1288832,1171672,0.98552998,0.027769434,9761,5,"sample"
"17_0715_5",12950310,5.451942417,1639608,1448230,0.983662156,0.025355094,11016,5,"sample"
"17_0716_5",15587070,4.740062213,1059454,958935,0.979938132,0.032032075,9215,5,"sample"
"17_0717_5",8891010,2.89588201,1389234,1201254,0.977599865,0.025453962,9173,5,"sample"
"17_0718_5",14932636.67,4.338433107,878263,765813,0.989496576,0.028196604,6478,5,"sample"
"17_0719_5",19262503.33,2.67671341,1086560,898392,0.98317816,0.012351698,3329,5,"sample"
"17_0720_5",10434428.33,3.772432153,1426766,1240298,0.988395614,0.026160377,9734,5,"sample"
"17_0721_5",19006403.33,3.33418181,1485913,1341181,0.990073888,0.022753585,9155,5,"sample"
"17_0722_5",16992880,4.72180722,1396384,1325840,0.978816971,0.025390189,10099,5,"sample"
"17_0723_5",25194420,4.667041743,1531818,1378313,0.988026614,0.035773208,14792,5,"sample"
"17_0724_5",19271778.33,8.04288121,669081,622272,0.989225985,0.038482642,7184,5,"sample"
"17_0725_5",16944273.33,2.89588201,672518,603813,0.991832166,0.083729057,15167,5,"sample"
"17_0726_5",18529515,2.27487168,606397,555322,0.98026354,0.028307925,4716,5,"sample"
"17_0727_5",9428483.333,1.452789753,332635,302287,0.986984962,0.023377358,2120,5,"sample"
"17_0728_5",14126300,3.53505266,756231,682482,0.974976256,0.041358868,8468,5,"sample"
"17_0729_5",12588558.33,2.96893543,844380,801397,0.98883325,0.03358717,8075,5,"sample"
"17_0730_5",17406248.33,2.786299273,711635,654054,0.981447499,0.036011321,7066,5,"sample"
"17_0731_5",14199365,5.981208493,555585,521750,0.991935403,0.05456,8540,5,"sample"
"17_0801_5",9663703.333,3.15156293,787598,749066,0.987286898,0.040890943,9189,5,"sample"
"17_0802_5",7784623.333,1.12390642,575859,545165,0.985409453,0.035475472,5802,5,"sample"
"17_0803_5",5065556.667,3.13330057,290657,272983,0.990505035,0.048867547,4002,5,"sample"
"17_0804_5",9105110,3.27939705,395864,361206,0.926394063,0.001439623,156,5,"sample"
"17_0805_5",9809680,5.251168377,1011215,973860,0.985695521,0.02867283,8377,5,"sample"
